Jahr;Monat;Monat_Jahr;Q_KW_MHF;Q_KW_RUH_Spree;Q_KW_RUH_TeK;Q_KW_RUH_ges;Q_KW_STA;Q_KW_WAS;Q_KW_Wan;Q_SCH;Q_WW_BEE;Q_WW_FRI;Q_WW_KLA;Q_WW_SPA;Q_WW_STO;Q_WW_TEG;Q_WW_TIE;Q_WW_WUH;Q_WW_KAU
2016;10;Okt 16;0.42;2.67;0.05;2.72;0.6;2.26;0.40;1.31;1.07;1.50;0.11;0.79;0.78;1.42;0.45;0.28;0.20
2016;11;Nov 16;0.46;2.68;0.01;2.68;0.60;2.25;0.46;1.34;1.07;1.58;0.1;0.76;0.79;1.54;0.45;0.29;0.2
2016;12;Dez 16;0.46;2.76;0;2.76;0.60;2.29;0.42;1.34;1.06;1.53;0.11;0.74;0.77;1.41;0.43;0.26;0.21
2017;1;Jan 17;0.47;2.75;0;2.75;0.59;1.99;0.41;1.27;1.06;1.61;0.12;0.82;0.77;1.32;0.47;0.25;0.20
2017;2;Feb 17;0.49;2.73;0;2.73;0.60;1.98;0.40;1.3;1.16;1.6;0.13;0.8;0.8;1.29;0.46;0.25;0.18
2017;3;Mrz 17;0.47;2.91;0.10;3.01;0.63;2.07;0.37;1;1.21;2;0.13;0.90;0.74;1.3;0.45;0.26;0.20
2017;4;Apr 17;0.47;0.78;1.93;2.71;0.62;1.92;0.38;1.17;1.25;1.51;0.12;0.88;0.6;1.48;0.46;0.31;0.20
2017;5;Mai 17;0.5;0.81;1.95;2.76;0.63;1.93;0.41;1.18;1.17;1.84;0.16;1.0;0.8;1.54;0.5;0.33;0.2
2017;6;Jun 17;0.48;1.01;2.15;3.17;0.68;2.20;0.46;1.34;1.25;1.75;0.14;1.0;0.83;1.58;0.46;0.31;0.21
2017;7;Jul 17;0.51;1.11;2.30;3.41;0.69;2.38;0.49;1.60;1.09;1.62;0.11;1.0;0.8;1.44;0.46;0.30;0.22
2017;8;Aug 17;0.46;0.80;2.03;2.83;0.62;1.99;0.5;1.31;1.05;1.47;0.12;0.9;0.7;1.41;0.46;0.3;0.2
2017;9;Sep 17;0.45;0.83;2.08;2.9;0.63;2.01;0.46;1.25;0.99;1.59;0.11;0.92;0.74;1.41;0.44;0.30;0.2
2017;10;Okt 17;0.45;3.13;0.05;3.18;0.65;2.27;0.45;1.44;0.99;1.56;0.1;0.91;0.73;1.30;0.42;0.30;0.23
2017;11;Nov 17;0.46;3.12;0.0;3.16;0.64;2.25;0.46;1.5;1.00;1.7;0.1;0.84;0.70;1.27;0.42;0.31;0.2
2017;12;Dez 17;0.48;2.97;0.05;3.0;0.62;2.03;0.40;1.40;1.00;1.6;0.12;0.93;0.60;1.26;0.42;0.31;0.22
2018;1;Jan 18;0.50;3.19;0.05;3.2;0.65;2.18;0.47;1.49;1.04;1.67;0.11;0.86;0.59;1.37;0.4;0.32;0.23
2018;2;Feb 18;0.49;2.82;0.05;2.86;0.59;1.94;0.36;1.23;1.06;1.61;0.1;0.82;0.6;1.59;0.44;0.30;0.20
2018;3;Mrz 18;0.49;2.95;0.13;3.07;0.63;2.10;0.42;1.36;1.09;1.72;0.03;0.88;0.58;1.60;0.45;0.30;0.22
2018;4;Apr 18;0.48;0.93;2.09;3.02;0.46;2.31;0.41;1.34;1.14;1.80;0.1;0.98;0.64;1.55;0.46;0.32;0.17
2018;5;Mai 18;0.49;0.88;2.00;2.87;0.47;2.1;0.47;1.17;1.39;2.02;0.13;1.05;0.74;1.83;0.50;0.32;0.23
2018;6;Jun 18;0.55;0.86;2.05;2.91;0.63;2.1;0.43;1.21;1.4;1.98;0.13;1.08;0.84;1.93;0.54;0.32;0.21
2018;7;Jul 18;0.49;0.82;1.94;2.77;0.64;2.04;0.47;1.20;1.33;1.98;0.11;1.12;0.81;1.99;0.59;0.31;0.2
2018;8;Aug 18;0.45;0.8;1.86;2.62;0.62;1.95;0.41;1.10;1.28;2.25;0.11;1.06;0.66;2.00;0.77;0.31;0.24
2018;9;Sep 18;0.45;0.83;1.86;2.7;0.5;1.96;0.45;1.17;1.06;2.04;0.10;1.16;0.78;1.38;0.6;0.31;0.22
2018;10;Okt 18;0.43;2.59;0.09;2.67;0.62;1.92;0.47;1.15;1.19;1.74;0.09;1.08;0.79;1.14;0.55;0.30;0.21
2018;11;Nov 18;0.44;2.74;0.00;2.74;0.6;1.98;0.40;1.19;1.15;1.74;0.07;1.04;0.8;1.14;0.49;0;0.19
2018;12;Dez 18;0.44;2.94;0;2.94;0.64;2.08;0.37;1.28;1.1;1.69;0.07;1.0;0.83;1.05;0.47;0.30;0.20
2019;1;Jan 19;0.46;3.01;0;3.01;0.64;2.18;0.38;1.34;1.09;1.70;0.08;0.93;0.83;1.21;0.48;0.32;0.21
2019;2;Feb 19;0.47;2.79;0;2.79;0.61;2.0;0.37;1.23;1.05;1.71;0;0.96;0.82;1.16;0.56;0.34;0.19
2019;3;Mrz 19;0.49;2.87;0.20;3.07;0.65;2.27;0.46;1.32;1.07;1.72;0.09;0.96;0.86;1.29;0.47;0.32;0.22
2019;4;Apr 19;0.48;0.8;1.90;2.70;0.6;2.06;0.34;1;1.10;1.92;0.10;0.97;0.88;1.52;0.5;0.32;0.21
2019;5;Mai 19;0.5;0.94;1.97;2.91;0.6;2.22;0.26;1.26;1.00;1.82;0.12;0.98;0.83;1.75;0.5;0.33;0.23
2019;6;Jun 19;0.47;0.93;2.12;3.05;0.64;2.21;0.3;1.3;1.23;2.08;0.14;1.09;0.89;2.07;0.6;0.33;0.23
2019;7;Jul 19;0.45;0.81;1.83;2.64;0.59;1.90;0.45;1.16;1.18;1.93;0.13;1.0;0.8;1.88;0.56;0.32;0.22
2019;8;Aug 19;0.47;0.8;1.93;2.77;0.62;2.14;0.55;1.21;1.19;2.12;0.14;1.00;0.75;1.87;0.52;0.32;0.23
2019;9;Sep 19;0.47;0.88;2.0;2.84;0.63;2.06;0.54;1.25;1.09;2.09;0;1.01;0.68;1.37;0.61;0.29;0.21
2019;10;Okt 19;0.47;2.86;0.05;2.91;0.63;2.16;0.49;1.30;0.96;1.92;0.10;0.90;0.61;1.27;0.62;0.28;0.2
2019;11;Nov 19;0.49;2.86;0.05;2.9;0.63;2.07;0.48;1.31;1.01;1.98;0.05;0.91;0.62;1.29;0.58;0.30;0.20
2019;12;Dez 19;0.46;2.7;0.05;2.77;0.61;1.99;0.47;1.24;0.98;1.8;0.1;0.87;0.71;1.21;0.57;0.3;0.21
2020;1;Jan 20;0.46;2.88;0.05;2.92;0.60;2;0.45;1.28;1.00;1.62;0.09;0.90;0.82;1.28;0.63;0.3;
2020;2;Feb 20;0.50;3;0.02;3.16;0.62;2.47;0.42;1.46;1.03;1.8;0.07;0.92;0.73;1.3;0.62;0.31;
2020;3;Mrz 20;0.49;2.79;0.04;2.83;0.63;2.33;0.48;1.34;1.15;1.73;0.09;0.91;0.81;1.4;0.55;0.3;
2020;4;Apr 20;0.5;0.82;1.93;2.75;0.61;2.03;0.46;1.20;1.20;2.00;0.11;0.95;0.77;1.93;0.47;0.31;
2020;5;Mai 20;0.47;0.93;1.92;2.85;0.59;2.15;0.31;1.29;1.14;1.9;0.1;0.98;0.68;1.92;0.42;0.28;
2020;6;Jun 20;0.5;0.9;2.07;2.97;0.63;2.23;0.27;1.36;1.23;1.9;0.12;1.05;0.82;2.04;0.5;0.30;
2020;7;Jul 20;0.45;0.8;2.02;2.87;0.62;1.97;0.26;1.2;1.12;1.83;0.09;1.00;0.76;1.89;0.46;0.3;
2020;8;Aug 20;0.49;0.90;2.08;2.98;0.63;2.08;0.27;1.25;1.32;2.02;0.14;1.04;0.8;2.21;0.56;0.31;
2020;9;Sep 20;0.50;0.95;2.10;3.05;0.63;2.10;0.28;1.27;1.09;1.76;0.10;0.90;0.68;1.89;0.49;0.31;
2020;10;Okt 20;0.49;3.17;0.00;3.2;0.3;2.30;0.41;1.29;1.05;1.60;0.09;0.80;0.74;1.70;0.45;0.29;
2020;11;Nov 20;0.48;2.91;0.00;2.91;0.47;2.0;0.4;1.23;1.04;1.52;0.08;0.83;0.77;2;0.41;0.30;
2020;12;Dez 20;0.47;2.88;0;2.88;0.47;2.00;0.42;1.16;0.99;1.47;0.08;0.78;0.77;1.67;0.42;0.28;
2021;1;Jan 21;0.48;3.05;0.00;3.05;0.46;2.25;0.4;1.28;1.02;1.50;0.08;0.78;0.76;1.74;0.41;0.24;
2021;2;Feb 21;0.51;3.04;0.00;3.04;0.51;2.31;0.37;1.31;1.04;1.60;0.09;0.71;0.73;1.96;0.45;0.29;
2021;3;Mrz 21;0.47;2.93;0.08;3.00;0.57;2.21;0.41;1.22;1.04;1.58;0.08;0.72;0.65;1.96;0.45;0.28;
2021;4;Apr 21;0.46;0.77;2.07;2.84;0.62;2.06;0.4;1.31;1.04;1.55;0.08;0.8;0.76;1.91;0.44;0.29;
2021;5;Mai 21;0.46;0.79;2.13;2.9;0.55;2.29;0.42;1.4;1.11;1.65;0.10;0.77;0.8;1.87;0.46;0.27;
2021;6;Jun 21;0.46;0.82;2.06;2.88;0.60;2.03;0.42;1.27;1.47;2.10;0.15;1.03;0.92;2.29;0.59;0.30;
2021;7;Jul 21;0.43;0.86;2.01;2.87;0.59;2.16;0.39;1.41;1.14;1.67;0.10;1;0.70;1.74;0.47;0.27;
2021;8;Aug 21;0.45;0.95;2.23;3.2;0.64;2.14;0.37;1.43;1.13;1.72;0.10;0.86;0.82;1.78;0.46;0.28;
2021;9;Sep 21;0.44;0.86;2.07;2.93;0.62;2.01;0.27;1.35;1.06;1.61;0.1;0.79;0.67;2.00;0.45;0.26;
2021;10;Okt 21;0.44;2.89;0.02;2.91;0.60;2.02;0.27;1.25;1.05;1.51;0.10;0.74;0.54;2.01;0.43;0.28;
2021;11;Nov 21;0.45;3.12;0.00;3.12;0.63;2.25;0.27;1.37;1.05;1.54;0.08;0.77;0.48;2.13;0.41;0.29;
2021;12;Dez 21;0.46;3.07;0.00;3.07;0.63;2.2;0.28;1.32;1.00;1.51;0.08;0.74;0.7;1.76;0.42;0.26;
